A2ML1	C0009450	Infection
A2ML1	C0013687	Effusion
A2ML1	C0021368	Inflammation
A2ML1	C0023012	Delay language
A2ML1	C0029882	Otitis media
A2ML1	C0699744	Ear infection
A2ML1	C1384666	Hearing impaired
A2ML1	C3887873	Hearing loss
A4GALT	C0159028	General symptom
A4GALT	C0854146	Blood test abnormal
AAAS	C0001621	Adrenal disorder
AAAS	C0001623	Adrenal insufficiency
AAAS	C0005826	Blood pressure abnormal
AAAS	C0011168	Dysphagia
AAAS	C0015672	Fatigue
AAAS	C0018939	Blood disorder
AAAS	C0020649	Hypotension
AAAS	C0031117	Neuropathy peripheral
AAAS	C0037274	Skin disorder
AAAS	C0150908	Weight loss
AAAS	C0162834	Skin hyperpigmentation
AAAS	C0235031	Neurological symptom
AAAS	C0259749	Autonomic neuropathy
AAAS	C0342579	Electrolyte imbalance
AAAS	C0497406	Over weight
AAAS	C1306792	Red man syndrome
AAAS	C1397014	Imbalance
AAAS	C2004489	Regurgitation
AAAS	C4084776	Weight loss
AAGAB	C0030193	Pain
AAGAB	C0037284	Skin lesion
AAGAB	C0234215	Discomfort
AAGAB	C0241136	Pain of skin
AAGAB	C0332563	Papule
AAGAB	C0518088	Reported pain
AAGAB	C0863084	Skin discomfort
AAGAB	C1274925	Painful skin
AAGAB	C2737161	Pain or discomfort
AAGAB	C3647129	Pain pressure
AARS1	C0004941	Behavioral symptoms
AARS1	C0011168	Dysphagia
AARS1	C0018500	Hair disorder
AARS1	C0026827	Hypotonia
AARS1	C0026846	Muscle atrophy
AARS1	C0027339	Nail disorder
AARS1	C0085584	Encephalopathy
AARS1	C0085632	Apathy
AARS1	C0151611	Electroencephalogram abnormal
AARS1	C0231170	Disability
AARS1	C0234131	Motor dysfunction
AARS1	C0235031	Neurological symptom
AARS1	C0240735	Personality change
AARS1	C0242422	Parkinsonism
AARS1	C0270612	Leukoencephalopathy
AARS1	C0270921	Axonal neuropathy
AARS1	C0278134	Sensory loss
AARS1	C0333641	Atrophy
AARS1	C0349588	Stature short
AARS1	C0424296	Disinhibition
AARS1	C0424605	Developmental delay
AARS1	C0426980	Motor symptom
AARS1	C0427068	Legs weakness
AARS1	C0497327	Dementia
AARS1	C0521654	Motor deficit
AARS1	C0557874	Global developmental delay
AARS1	C0575081	Gait disturbance
AARS1	C0744247	Gait change
AARS1	C0751378	Neurologic sign
AARS1	C1579064	Weakness symptoms
AARS1	C2219730	Focal disturbances
AARS1	C2220255	Motor disturbances
AARS1	C2232697	Mood symptoms
AARS1	C2830460	Short stature
AARS2	C0001122	Acidosis
AARS2	C0001125	Lactic acidosis
AARS2	C0001127	Respiratory acidosis
AARS2	C0004134	Ataxia
AARS2	C0004941	Behavioral symptoms
AARS2	C0013362	Dysarthria
AARS2	C0013447	Ear disorder
AARS2	C0015544	Failure to thrive
AARS2	C0021290	Neonatal disorder
AARS2	C0021359	Infertility
AARS2	C0025320	Menopause
AARS2	C0025322	Premature menopause
AARS2	C0025517	Metabolic disorder
AARS2	C0026827	Hypotonia
